Entry ID,Total Number of Polymer Instances (Chains),Entity Polymer Type,Polymer Entity Sequence Length,Total Number of polymer Entity Instances (Chains) per Entity
,,"Protein",240,3
"2XQL",10,"Protein",91,5
,,"Protein",90,5
"2YFW",8,"Protein",92,4
,,"Protein",103,4
"2YMS",4,"Protein",130,1
,,"Protein",74,1
,,"Protein",75,1
,,"Protein",74,1
"2Z5I",10,"Protein",52,8
,,"Protein",40,2
"2ZS0",4,"Protein",140,1
,,"Protein",142,1
,,"Protein",147,1
,,"Protein",145,1
"3AEK",4,"Protein",437,2
,,"Protein",525,2
"3AIZ",4,"Protein",248,2
,,"Protein",246,2
"3AJV",4,"Protein",190,2
,,"Protein",186,2
"3AMJ",4,"Protein",424,2
,,"Protein",437,2
"3AOE",6,"Protein",424,2
,,"Protein",419,4
"3B07",8,"Protein",309,4
,,"Protein",290,4
"3B5N",12,"Protein",61,3
,,"Protein",69,3
,,"Protein",70,3
,,"Protein",64,3
"3BLX",16,"Protein",349,8
,,"Protein",354,8
"3BOM",4,"Protein",147,2
,,"Protein",143,2
"3BTS",4,"Protein",438,2
,,"Protein",21,2
"3BX4",4,"Protein",136,2
,,"Protein",146,2
"3CK4",12,"Protein",34,6
,,"Protein",34,6
"3CMO",4,"Protein",210,2
,,"Protein",222,2
"3EJ9",6,"Protein",76,3
,,"Protein",70,3
"3FC6",4,"Protein",242,2
,,"Protein",266,2
"3GPR",4,"Protein",133,1
,,"Protein",129,1
,,"Protein",134,1
,,"Protein",124,1
"3GPT",28,"Protein",250,2
,,"Protein",198,2
,,"Protein",212,2
,,"Protein",222,2
,,"Protein",233,2
,,"Protein",196,2
,,"Protein",244,2
,,"Protein",241,2
,,"Protein",242,2
,,"Protein",233,2
,,"Protein",244,2
,,"Protein",243,2
,,"Protein",222,2
,,"Protein",204,2
"3GTU",4,"Protein",217,2
,,"Protein",224,2
"3HE4",8,"Protein",56,4
,,"Protein",46,4
"3HFA",28,"Protein",240,14
,,"Protein",240,14
"3IG6",4,"Protein",23,2
,,"Protein",253,2
"3IYG",8,"Protein",512,1
,,"Protein",515,1
,,"Protein",517,1
,,"Protein",518,1
,,"Protein",513,1
,,"Protein",515,1
,,"Protein",529,1
,,"Protein",515,1
"3J2Y",8,"Protein",212,4
,,"Protein",218,4
"3J6E",18,"Protein",439,9
,,"Protein",427,9
"3J6F",18,"Protein",439,9
,,"Protein",427,9
"3J7E",8,"Protein",115,4
,,"Protein",121,4
"3JA8",6,"Protein",868,1
,,"Protein",971,1
,,"Protein",933,1
,,"Protein",775,1
,,"Protein",845,1
,,"Protein",1017,1
"3JBB",12,"Protein",167,6
,,"Protein",161,6
"3KDF",4,"Protein",121,2
,,"Protein",132,2
"3KRA",4,"Protein",295,2
,,"Protein",274,2
"3KRO",4,"Protein",295,2
,,"Protein",274,2
"3M91",4,"Protein",51,2
,,"Protein",44,2
"3MEZ",4,"Protein",111,2
,,"Protein",113,2
"3MI0",28,"Protein",240,14
,,"Protein",248,14
"3MM5",4,"Protein",418,2
,,"Protein",366,2
"3MOP",14,"Protein",110,6
,,"Protein",113,4
,,"Protein",111,4
"3MUD",4,"Protein",175,2
,,"Protein",75,2
"3N57",4,"Protein",990,2
,,"Protein",28,2
"3N7N",6,"Protein",190,4
,,"Protein",95,2
"3NMM",4,"Protein",141,2
,,"Protein",146,2
"3NZJ",30,"Protein",250,2
,,"Protein",198,2
,,"Protein",287,2
,,"Protein",241,2
,,"Protein",266,2
,,"Protein",215,2
,,"Protein",5,2
,,"Protein",258,2
,,"Protein",254,2
,,"Protein",260,2
,,"Protein",234,2
,,"Protein",288,2
,,"Protein",252,2
,,"Protein",261,2
,,"Protein",205,2
"3O8O",8,"Protein",787,4
,,"Protein",766,4
"3OF6",6,"Protein",255,3
,,"Protein",130,3
"3OQ9",10,"Protein",86,5
,,"Protein",100,5
"3PV3",8,"Protein",451,4
,,"Protein",20,4
"3PW8",4,"Protein",259,2
,,"Protein",311,2
"3PWQ",12,"Protein",259,8
,,"Protein",311,4
"3Q4H",4,"Protein",98,2
,,"Protein",102,2
"3QB5",4,"Protein",228,3
,,"Protein",290,1
"3QLV",10,"Protein",393,5
,,"Protein",395,5
"3QVG",4,"Protein",89,2
,,"Protein",106,2
"3R84",24,"Protein",86,12
,,"Protein",92,12
"3R9I",8,"Protein",260,4
,,"Protein",20,4
"3RF3",4,"Protein",258,2
,,"Protein",29,2
"3SWN",12,"Protein",117,4
,,"Protein",82,4
,,"Protein",77,4
"3TDI",4,"Protein",202,2
,,"Protein",25,2
"3U7Q",4,"Protein",492,2
,,"Protein",523,2
"3UDW",4,"Protein",110,2
,,"Protein",118,2
"3VSJ",4,"Protein",271,2
,,"Protein",312,2
"3VTQ",6,"Protein",38,3
,,"Protein",39,3
"3WJM",6,"Protein",703,3
,,"Protein",696,3
"3ZRJ",4,"Protein",171,2
,,"Protein",20,2
"4AQ5",5,"Protein",493,1
,,"Protein",522,1
,,"Protein",488,1
,,"Protein",461,2
"4B2T",16,"Protein",556,2
,,"Protein",535,2
,,"Protein",542,2
,,"Protein",541,2
,,"Protein",545,2
,,"Protein",543,2
,,"Protein",548,2
,,"Protein",531,2
"4BOG",30,"Protein",493,6
,,"Protein",522,6
,,"Protein",461,12
,,"Protein",505,6
"4CQM",16,"Protein",261,7
,,"Protein",244,8
,,"Protein",261,1
"4CUG",4,"Protein",406,2
,,"Protein",20,2
"4D11",11,"Protein",571,5
,,"Protein",571,1
,,"Protein",6,5
"4ESA",4,"Protein",143,2
,,"Protein",146,2
"4FZW",4,"Protein",258,2
,,"Protein",274,2
"4GGF",8,"Protein",93,4
,,"Protein",114,4
"4GYP",4,"Protein",446,2
,,"Protein",458,2
"4HRR",8,"Protein",150,4
,,"Protein",152,4
"4HRT",8,"Protein",150,4
,,"Protein",152,4
"4J5W",4,"Protein",264,2
,,"Protein",336,2
"4J6S",8,"Protein",255,4
,,"Protein",43,4
"4LFN",4,"Protein",162,2
,,"Protein",172,2
"4M78",14,"Protein",96,2
,,"Protein",95,2
,,"Protein",89,2
,,"Protein",86,2
,,"Protein",93,2
,,"Protein",115,2
,,"Protein",93,2
"4MNE",8,"Protein",341,4
,,"Protein",308,4
"4NBD",5,"Protein",392,3
,,"Protein",115,2
"4NIF",4,"Protein",333,2
,,"Protein",362,2
"4P1X",8,"Protein",296,4
,,"Protein",309,4
"4P5H",30,"Protein",286,15
,,"Protein",20,15
"4P72",4,"Protein",792,2
,,"Protein",338,2
"4PO5",6,"Protein",161,3
,,"Protein",167,3
"4QLQ",28,"Protein",250,2
,,"Protein",198,2
,,"Protein",212,2
,,"Protein",222,2
,,"Protein",246,2
,,"Protein",196,2
,,"Protein",258,2
,,"Protein",254,2
,,"Protein",260,2
,,"Protein",234,2
,,"Protein",288,2
,,"Protein",252,2
,,"Protein",232,2
,,"Protein",205,2
"4QVP",28,"Protein",258,2
,,"Protein",234,2
,,"Protein",288,2
,,"Protein",232,2
,,"Protein",205,2
,,"Protein",250,2
,,"Protein",198,2
,,"Protein",212,2
,,"Protein",222,2
,,"Protein",246,2
,,"Protein",196,2
,,"Protein",254,2
,,"Protein",260,2
,,"Protein",252,2
"4R0L",6,"Protein",121,2
,,"Protein",129,2
,,"Protein",117,2
"4R17",28,"Protein",250,2
,,"Protein",198,2
,,"Protein",212,2
,,"Protein",222,2
,,"Protein",246,2
,,"Protein",196,2
,,"Protein",258,2
,,"Protein",254,2
,,"Protein",260,2
,,"Protein",234,2
,,"Protein",288,2
,,"Protein",252,2
,,"Protein",232,2
,,"Protein",205,2
"4RHW",6,"Protein",97,4
,,"Protein",108,2
"4RYF",14,"Protein",201,7
,,"Protein",204,7
"4WHS",6,"Protein",200,3
,,"Protein",238,2
,,"Protein",238,1
"4WNL",8,"Protein",234,4
,,"Protein",33,4
"4WY4",4,"Protein",64,1
,,"Protein",58,1
,,"Protein",78,1
,,"Protein",65,1
"4X28",4,"Protein",400,2
,,"Protein",373,2
"4X4X",4,"Protein",140,2
,,"Protein",107,2
"4Y70",32,"Protein",260,2
,,"Protein",288,2
,,"Protein",198,2
,,"Protein",250,2
,,"Protein",212,2
,,"Protein",222,2
,,"Protein",246,2
,,"Protein",196,2
,,"Protein",5,4
,,"Protein",258,2
,,"Protein",254,2
,,"Protein",234,2
,,"Protein",252,2
,,"Protein",232,2
,,"Protein",205,2
"4Y7Y",32,"Protein",250,2
,,"Protein",198,2
,,"Protein",212,2
,,"Protein",222,2
,,"Protein",246,2
,,"Protein",196,2
,,"Protein",5,4
,,"Protein",258,2
,,"Protein",254,2
,,"Protein",260,2
,,"Protein",234,2
,,"Protein",288,2
,,"Protein",252,2
,,"Protein",232,2
,,"Protein",205,2
"4Y8L",32,"Protein",250,2
,,"Protein",198,2
,,"Protein",212,2
,,"Protein",222,2
,,"Protein",246,2
,,"Protein",196,2
,,"Protein",5,4
,,"Protein",258,2
,,"Protein",254,2
,,"Protein",260,2
,,"Protein",234,2
,,"Protein",288,2
,,"Protein",252,2
,,"Protein",232,2
,,"Protein",205,2
"4YCW",8,"Protein",513,4
,,"Protein",42,4
"5BKF",5,"Protein",364,4
,,"Protein",702,1
"5CMZ",4,"Protein",46,2
,,"Protein",38,2
"5CZ4",28,"Protein",258,2
,,"Protein",260,2
,,"Protein",250,2
,,"Protein",198,2
,,"Protein",212,2
,,"Protein",222,2
,,"Protein",246,2
,,"Protein",196,2
,,"Protein",254,2
,,"Protein",234,2
,,"Protein",288,2
,,"Protein",252,2
,,"Protein",232,2
,,"Protein",205,2
"5CZ7",28,"Protein",260,2
,,"Protein",232,2
,,"Protein",198,2
,,"Protein",217,2
,,"Protein",222,2
,,"Protein",246,2
,,"Protein",250,2
,,"Protein",196,2
,,"Protein",258,2
,,"Protein",254,2
,,"Protein",234,2
,,"Protein",288,2
,,"Protein",252,2
,,"Protein",205,2
"5CZA",28,"Protein",250,2
,,"Protein",198,2
,,"Protein",212,2
,,"Protein",222,2
,,"Protein",246,2
,,"Protein",196,2
,,"Protein",258,2
,,"Protein",254,2
,,"Protein",260,2
,,"Protein",234,2
,,"Protein",288,2
,,"Protein",252,2
,,"Protein",232,2
,,"Protein",205,2
"5DBO",4,"Protein",466,2
,,"Protein",419,2
"5DWZ",8,"Protein",350,4
,,"Protein",283,4
"5E0S",28,"Protein",214,14
,,"Protein",200,14
"5EOF",4,"Protein",82,2
,,"Protein",57,2
"5GW5",16,"Protein",559,2
,,"Protein",527,2
,,"Protein",528,2
,,"Protein",562,2
,,"Protein",534,2
,,"Protein",550,2
,,"Protein",568,2
,,"Protein",546,2
"5HJS",4,"Protein",283,2
,,"Protein",25,2
"5HOI",6,"Protein",478,3
,,"Protein",21,3
"5ICA",4,"Protein",163,1
,,"Protein",152,1
,,"Protein",244,1
,,"Protein",149,1
"5IWL",4,"Protein",234,2
,,"Protein",114,2
"5JIU",4,"Protein",243,2
,,"Protein",20,2
"5JJM",12,"Protein",252,3
,,"Protein",3,4
,,"Protein",252,1
,,"Protein",8,4
"5JXT",23,"Protein",349,16
,,"Protein",21,7
"5KXI",5,"Protein",386,2
,,"Protein",403,3
"5L5F",28,"Protein",250,2
,,"Protein",258,2
,,"Protein",260,2
,,"Protein",232,2
,,"Protein",205,2
,,"Protein",246,2
,,"Protein",198,2
,,"Protein",211,2
,,"Protein",222,2
,,"Protein",196,2
,,"Protein",254,2
,,"Protein",234,2
,,"Protein",288,2
,,"Protein",252,2
"5LE5",28,"Protein",261,2
,,"Protein",248,2
,,"Protein",241,2
,,"Protein",246,2
,,"Protein",234,2
,,"Protein",213,2
,,"Protein",219,2
,,"Protein",234,2
,,"Protein",201,2
,,"Protein",204,2
,,"Protein",205,2
,,"Protein",263,2
,,"Protein",255,2
,,"Protein",205,2
"5LEY",30,"Protein",241,2
,,"Protein",205,2
,,"Protein",201,2
,,"Protein",205,2
,,"Protein",234,2
,,"Protein",204,2
,,"Protein",213,2
,,"Protein",219,2
,,"Protein",4,2
,,"Protein",261,2
,,"Protein",248,2
,,"Protein",263,2
,,"Protein",255,2
,,"Protein",246,2
,,"Protein",234,2
"5MVW",4,"Protein",70,2
,,"Protein",58,2
"5MWE",4,"Protein",70,2
,,"Protein",81,2
"5MX5",14,"Protein",249,8
,,"Protein",239,6
"5NB4",24,"Protein",164,12
,,"Protein",184,12
"5NL1",12,"Protein",156,6
,,"Protein",46,6
"5OAF",6,"Protein",456,3
,,"Protein",463,3
"5TUG",4,"Protein",135,2
,,"Protein",146,2
"5UBQ",6,"Protein",441,3
,,"Protein",429,3
"5UJ8",8,"Protein",712,4
,,"Protein",347,4
"5VOK",8,"Protein",91,4
,,"Protein",103,4
"5VWW",4,"Protein",26,2
,,"Protein",170,2
"5WVC",6,"Protein",95,3
,,"Protein",151,3
"5WXM",4,"Protein",159,2
,,"Protein",34,2
"5X6C",4,"Protein",553,2
,,"Protein",216,2
"5XNN",4,"Protein",232,2
,,"Protein",243,1
,,"Protein",210,1
"5XNO",4,"Protein",243,1
,,"Protein",210,1
,,"Protein",232,2
"5Y14",6,"Protein",44,3
,,"Protein",28,3
"5YB3",6,"Protein",36,3
,,"Protein",23,3
"5YC0",12,"Protein",44,6
,,"Protein",31,6
"5YH2",4,"Protein",467,2
,,"Protein",560,2
"5YK7",4,"Protein",255,2
,,"Protein",208,2
"5YZ0",4,"Protein",2644,2
,,"Protein",791,2
"5Z12",8,"Protein",228,2
,,"Protein",231,2
,,"Protein",9,2
,,"Protein",6,2
"5ZCX",6,"Protein",39,3
,,"Protein",37,3
"5ZE9",6,"Protein",600,3
,,"Protein",465,3
"5ZVK",6,"Protein",80,3
,,"Protein",44,3
"5ZVM",6,"Protein",80,3
,,"Protein",44,3
"5ZY8",4,"Protein",158,2
,,"Protein",142,2
"6B6Z",4,"Protein",215,2
,,"Protein",235,2
"6CHT",20,"Protein",245,16
,,"Protein",20,4
"6CKO",4,"Protein",77,2
,,"Protein",50,2
"6DCO",4,"Protein",156,2
,,"Protein",26,2
"6DFT",12,"Protein",461,6
,,"Protein",342,6
"6DNZ",4,"Protein",345,2
,,"Protein",391,2
"6DPU",12,"Protein",451,6
,,"Protein",445,6
"6DW0",5,"Protein",402,2
,,"Protein",384,2
,,"Protein",490,1
"6DW1",5,"Protein",490,1
,,"Protein",402,2
,,"Protein",384,2
"6E7D",24,"Protein",124,16
,,"Protein",137,8
"6EYC",6,"Protein",868,1
,,"Protein",971,1
,,"Protein",933,1
,,"Protein",775,1
,,"Protein",1017,1
,,"Protein",845,1
"6G0Y",8,"Protein",194,4
,,"Protein",21,4
"6GBU",8,"Protein",63,4
,,"Protein",65,4
"6GWV",18,"Protein",275,9
,,"Protein",269,9
"6H39",28,"Protein",250,2
,,"Protein",198,2
,,"Protein",212,2
,,"Protein",222,2
,,"Protein",246,2
,,"Protein",196,2
,,"Protein",258,2
,,"Protein",254,2
,,"Protein",260,2
,,"Protein",234,2
,,"Protein",288,2
,,"Protein",252,2
,,"Protein",232,2
,,"Protein",205,2
"6HE5",20,"Protein",247,7
,,"Protein",210,7
,,"Protein",401,6
"6HE7",14,"Protein",235,7
,,"Protein",202,7
"6HK2",4,"Protein",141,2
,,"Protein",146,2
"6HWE",28,"Protein",250,2
,,"Protein",258,2
,,"Protein",234,2
,,"Protein",205,2
,,"Protein",198,2
,,"Protein",222,2
,,"Protein",246,2
,,"Protein",196,2
,,"Protein",212,2
,,"Protein",254,2
,,"Protein",260,2
,,"Protein",288,2
,,"Protein",252,2
,,"Protein",232,2
"6IHX",4,"Protein",140,2
,,"Protein",144,2
"6II1",4,"Protein",138,2
,,"Protein",145,2
"6K0R",12,"Protein",355,6
,,"Protein",366,6
"6KA9",8,"Protein",141,4
,,"Protein",146,4
"6KAU",4,"Protein",141,2
,,"Protein",146,2
"6KS6",16,"Protein",559,2
,,"Protein",527,2
,,"Protein",528,2
,,"Protein",562,2
,,"Protein",594,2
,,"Protein",550,2
,,"Protein",568,2
,,"Protein",546,2
"6KTS",6,"Protein",37,3
,,"Protein",35,3
"6LCX",8,"Protein",141,4
,,"Protein",146,4
"6MAF",4,"Protein",275,2
,,"Protein",285,2
"6MLC",6,"Protein",92,4
,,"Protein",20,2
"6MZU",42,"Protein",212,6
,,"Protein",99,36
"6MZV",42,"Protein",212,6
,,"Protein",99,36
"6N06",39,"Protein",205,3
,,"Protein",99,36
"6N2E",4,"Protein",379,2
,,"Protein",214,2
"6NT9",4,"Protein",742,2
,,"Protein",392,2
"6NTX",4,"Protein",53,2
,,"Protein",38,2
"6O2S",104,"Protein",451,52
,,"Protein",445,52
"6O2T",104,"Protein",451,52
,,"Protein",445,52
"6OGM",12,"Protein",64,6
,,"Protein",65,6
"6OL6",4,"Protein",227,1
,,"Protein",214,1
,,"Protein",139,1
,,"Protein",113,1
"6OL7",16,"Protein",131,4
,,"Protein",111,4
,,"Protein",141,4
,,"Protein",125,4
"6PBK",4,"Protein",135,2
,,"Protein",146,2
"6PDZ",4,"Protein",275,2
,,"Protein",22,2
"6PYQ",6,"Protein",53,3
,,"Protein",38,3
"6PZ6",6,"Protein",53,3
,,"Protein",38,3
"6QB8",16,"Protein",541,2
,,"Protein",548,2
,,"Protein",531,2
,,"Protein",556,2
,,"Protein",535,2
,,"Protein",539,2
,,"Protein",544,2
,,"Protein",543,2
"6QCM",60,"Protein",128,30
,,"Protein",129,6
,,"Protein",118,20
,,"Protein",123,1
,,"Protein",136,3
"6R17",4,"Protein",112,2
,,"Protein",69,2
"6RGL",4,"Protein",354,2
,,"Protein",451,1
,,"Protein",417,1
"6RJ4",6,"Protein",269,3
,,"Protein",275,3
"6RKE",12,"Protein",269,6
,,"Protein",275,6
"6RKO",4,"Protein",379,1
,,"Protein",522,1
,,"Protein",29,1
,,"Protein",37,1
"6RPJ",8,"Protein",129,4
,,"Protein",142,4
"6SOK",8,"Protein",127,4
,,"Protein",32,4
"6T46",8,"Protein",376,4
,,"Protein",44,4
"6TLC",4,"Protein",95,2
,,"Protein",598,2
"6UR8",5,"Protein",487,2
,,"Protein",397,3
"6VAS",4,"Protein",53,2
,,"Protein",38,2
"6VL6",24,"Protein",125,12
,,"Protein",128,12
"6WGF",6,"Protein",868,1
,,"Protein",845,1
,,"Protein",1017,1
,,"Protein",775,1
,,"Protein",933,1
,,"Protein",971,1
"6WMS",4,"Protein",199,2
,,"Protein",23,2
"6WNK",28,"Protein",240,14
,,"Protein",240,14
"6WR2",20,"Protein",388,6
,,"Protein",207,14
"6WVL",4,"Protein",451,2
,,"Protein",445,2
"6WVR",4,"Protein",445,2
,,"Protein",451,2
"6XOC",4,"Protein",221,1
,,"Protein",217,1
,,"Protein",221,1
,,"Protein",207,1
"6YKR",7,"Protein",271,2
,,"Protein",258,5
"6YX7",12,"Protein",160,6
,,"Protein",161,6
"6YYJ",6,"Protein",162,3
,,"Protein",172,3
"6Z46",28,"Protein",242,14
,,"Protein",198,14
"6ZG6",8,"Protein",1273,4
,,"Protein",297,4
"6ZMX",4,"Protein",141,2
,,"Protein",146,2
"7ADT",4,"Protein",148,2
,,"Protein",28,2
"7AH8",4,"Protein",89,2
,,"Protein",80,2
"7AOS",4,"Protein",238,1
,,"Protein",266,1
,,"Protein",27,2
"7AP5",16,"Protein",164,8
,,"Protein",184,8
"7CU5",4,"Protein",118,2
,,"Protein",230,2
"7D1L",4,"Protein",94,2
,,"Protein",89,2
"7D73",12,"Protein",420,4
,,"Protein",360,8
"7D74",12,"Protein",420,4
,,"Protein",360,8
"7D7E",4,"Protein",604,3
,,"Protein",551,1
"7D7F",4,"Protein",604,3
,,"Protein",551,1
"7DA1",4,"Protein",107,2
,,"Protein",81,2
"7DMZ",6,"Protein",451,3
,,"Protein",445,3
"7DN0",6,"Protein",445,2
,,"Protein",451,4
"7DQC",6,"Protein",600,3
,,"Protein",465,3
"7DRO",10,"Protein",334,6
,,"Protein",25,4
"7DV4",8,"Protein",118,4
,,"Protein",120,4
"7DY4",8,"Protein",141,4
,,"Protein",146,4
"7E87",8,"Protein",398,2
,,"Protein",397,2
,,"Protein",28,4
"7EFV",4,"Protein",162,2
,,"Protein",172,2
"7EFW",12,"Protein",162,6
,,"Protein",172,6
"7JLK",4,"Protein",133,1
,,"Protein",233,1
,,"Protein",210,1
,,"Protein",122,1
"7JY0",4,"Protein",141,2
,,"Protein",146,2
"7JY1",4,"Protein",141,2
,,"Protein",146,2
"7JY3",4,"Protein",141,2
,,"Protein",146,2
"7KEU",8,"Protein",85,4
,,"Protein",82,4
"7KJR",4,"Protein",284,2
,,"Protein",210,2
"7KUY",5,"Protein",364,4
,,"Protein",702,1
"7L6M",4,"Protein",218,2
,,"Protein",219,2
"7LXB",16,"Protein",451,8
,,"Protein",450,8
"7M18",16,"Protein",450,8
,,"Protein",451,8
"7M20",18,"Protein",450,9
,,"Protein",451,9
"7M6J",6,"Protein",275,2
,,"Protein",427,2
,,"Protein",432,2
"7N32",24,"Protein",449,12
,,"Protein",443,12
"7NG8",4,"Protein",494,3
,,"Protein",264,1
"7O4H",4,"Protein",690,3
,,"Protein",1394,1
"7OCX",4,"Protein",84,2
,,"Protein",103,2
"7OEU",10,"Protein",266,5
,,"Protein",131,5
"7OEW",6,"Protein",183,4
,,"Protein",24,2
"7OFQ",45,"Protein",209,23
,,"Protein",213,22
"7PCS",4,"Protein",250,2
,,"Protein",248,2
"7Q54",8,"Protein",451,4
,,"Protein",402,4
"7Q55",16,"Protein",451,8
,,"Protein",402,8
"7Q56",16,"Protein",368,8
,,"Protein",337,8
"7QL5",5,"Protein",437,2
,,"Protein",501,1
,,"Protein",489,1
,,"Protein",469,1
"7QUP",65,"Protein",475,39
,,"Protein",425,26
"7QUQ",6,"Protein",473,3
,,"Protein",426,3
"7RH9",4,"Protein",560,3
,,"Protein",810,1
"7RHL",4,"Protein",560,3
,,"Protein",810,1
"7RWZ",4,"Protein",355,1
,,"Protein",402,3
"7RZE",4,"Protein",1011,2
,,"Protein",21,1
,,"Protein",30,1
"7RZF",4,"Protein",1011,2
,,"Protein",21,1
,,"Protein",30,1
"7SMM",5,"Protein",437,2
,,"Protein",501,1
,,"Protein",469,1
,,"Protein",489,1
"7TIK",6,"Protein",257,3
,,"Protein",45,3
"7TNT",36,"Protein",437,18
