Entry ID,Total Number of Polymer Instances (Chains),Entity Polymer Type,Polymer Entity Sequence Length,Total Number of polymer Entity Instances (Chains) per Entity
,,"RNA",28,2
,,"Protein",24,3
"5MMA",4,"DNA",19,1
,,"Protein",395,2
,,"DNA",17,1
"5MMB",4,"DNA",19,1
,,"Protein",395,2
,,"DNA",17,1
"5NO1",4,"Protein",395,2
,,"DNA",19,1
,,"DNA",17,1
"5UOP",4,"Protein",395,2
,,"DNA",19,1
,,"DNA",17,1
"5UOQ",4,"Protein",395,2
,,"DNA",19,1
,,"DNA",17,1
"5W7G",44,"Protein",140,21
,,"Protein",132,21
,,"DNA",252,2
"5XFQ",6,"Protein",13,2
,,"Protein",336,2
,,"DNA",13,2
"5XFR",6,"Protein",317,2
,,"Protein",8,2
,,"DNA",13,2
"5ZK1",3,"DNA",20,1
,,"Protein",59,1
,,"Protein",42,1
"5ZKO",6,"Protein",59,2
,,"DNA",20,2
,,"Protein",80,2
"5ZU1",6,"Protein",63,4
,,"DNA",17,1
,,"DNA",17,1
"6D5F",54,"Protein",199,26
,,"Protein",137,26
,,"DNA",336,2
"6F0L",14,"Protein",868,2
,,"Protein",971,2
,,"Protein",933,2
,,"Protein",775,2
,,"Protein",1017,2
,,"Protein",845,2
,,"DNA",62,1
,,"DNA",62,1
"6IIS",6,"Protein",100,2
,,"DNA",16,2
,,"Protein",8,2
"6IIT",6,"Protein",100,2
,,"DNA",16,2
,,"Protein",8,2
"6LT7",6,"Protein",141,2
,,"Protein",198,2
,,"RNA",50,2
"6M4G",10,"DNA",147,1
,,"DNA",147,1
,,"Protein",136,2
,,"Protein",103,2
,,"Protein",126,2
,,"Protein",115,2
"6M4H",10,"DNA",147,1
,,"DNA",147,1
,,"Protein",136,2
,,"Protein",103,2
,,"Protein",115,2
,,"Protein",126,2
"6PPQ",8,"Protein",86,1
,,"Protein",95,1
,,"Protein",129,1
,,"Protein",80,1
,,"Protein",77,1
,,"RNA",6,1
,,"Protein",96,1
,,"Protein",119,1
"6PPV",8,"Protein",86,1
,,"Protein",96,1
,,"Protein",95,1
,,"Protein",129,1
,,"Protein",80,1
,,"Protein",77,1
,,"Protein",113,1
,,"RNA",6,1
"6PUY",6,"Protein",383,4
,,"DNA",27,1
,,"DNA",25,1
"6PUZ",6,"Protein",383,4
,,"DNA",27,1
,,"DNA",25,1
"6SKO",7,"Protein",1017,1
,,"Protein",845,1
,,"Protein",868,1
,,"Protein",775,1
,,"Protein",971,1
,,"Protein",933,1
,,"DNA",85,1
"6V3K",6,"Protein",383,4
,,"DNA",27,1
,,"DNA",25,1
"6VCS",6,"Protein",211,3
,,"DNA",12,2
,,"Protein",6,1
"6ZJ2",12,"Protein",216,8
,,"DNA",23,2
,,"DNA",23,2
"7ADU",4,"Protein",395,2
,,"DNA",19,1
,,"DNA",17,1
"7ADV",4,"Protein",395,2
,,"DNA",19,1
,,"DNA",17,1
"7AZK",8,"Protein",386,4
,,"Protein",6,4
"7CVO",6,"Protein",165,2
,,"Protein",103,2
,,"DNA",25,1
,,"DNA",25,1
"7DBH",10,"Protein",139,2
,,"Protein",106,2
,,"Protein",133,2
,,"Protein",129,2
,,"DNA",145,1
,,"DNA",145,1
"7LVV",8,"Protein",1029,4
,,"DNA",29,2
,,"DNA",29,2
"7N8N",6,"Protein",244,2
,,"Protein",297,2
,,"DNA",147,1
,,"DNA",147,1
"7NQ4",3,"Protein",405,1
,,"Protein",415,1
,,"RNA",20,1
"7P30",14,"Protein",868,2
,,"Protein",1006,2
,,"Protein",933,2
,,"Protein",775,2
,,"Protein",1017,2
,,"Protein",845,2
,,"DNA",53,1
,,"DNA",53,1
"7T22",10,"Protein",471,6
,,"Protein",148,3
,,"DNA",20,1
"7T23",9,"Protein",471,6
,,"Protein",148,2
,,"DNA",20,1
"7X57",10,"Protein",139,4
,,"Protein",106,4
,,"DNA",145,1
,,"DNA",145,1
"7X58",10,"Protein",139,4
,,"Protein",106,4
,,"DNA",145,1
,,"DNA",145,1
"7YOZ",10,"Protein",139,4
,,"Protein",106,4
,,"DNA",145,1
,,"DNA",145,1
"8AA5",10,"Protein",596,4
,,"DNA",79,1
,,"DNA",74,1
,,"DNA",15,1
,,"DNA",80,1
,,"DNA",75,1
,,"DNA",15,1
"8E2L",7,"Protein",542,6
,,"DNA",15,1
