pdockq1,pdockq2,pred_contact,pdb_id,IntraclashesGroup1,IntraclashesGroup2,Interaction Energy,Backbone Hbond,Sidechain Hbond,Van der Waals,Electrostatics,Solvation Polar,Solvation Hydrophobic,Van der Waals clashes,entropy sidechain,entropy mainchain,sloop_entropy,mloop_entropy,cis_bond,torsional clash,backbone clash,helix dipole,water bridge,disulfide,electrostatic kon,partial covalent bonds,energy Ionisation,Entropy Complex,Number of Residues,Interface Residues,Interface Residues Clashing,Interface Residues VdW Clashing,Interface Residues BB Clashing,ptm_iptm
0.041,0.282,26.0,5LE5_C_5LE5_K_1,45.6658,63.4658,6.40767,-0.422941,-2.3341,-8.09386,-2.84816,15.4492,-9.45254,8.94278,6.1339,1.28745,0,0,0,0.0242567,4.05958,-1.56379,0,0,-0.725107,0,0.0105932,2.384,452,31,5,4,2,0.5924081584620723
0.101,0.319,24.0,5LE5_C_5LE5_K_0,41.7438,59.2396,20.5924,-0.9448,-0.0492444,-11.8596,-2.1633,17.8063,-14.0309,22.9103,10.1728,0.499301,0,0,0,0.112026,3.82335,-1.69607,0,0,-0.164338,0,5.55112e-17,2.384,452,26,9,9,0,0.6642973243364969
0.025,0.289,33.0,5LE5_C_5LE5_K_3,39.328,71.117,29.5024,-0.335627,-1.76778,-11.5513,-2.34887,20.8476,-13.9356,31.4538,7.31093,1.28071,0,0,0,0.575547,5.9537,-1.50623,0,0,-0.533406,0,0.0126889,2.384,452,33,11,11,2,0.4898910867795255
0.033,0.286,32.0,5LE5_C_5LE5_K_2,47.3774,69.3812,12.0631,-0.833234,-2.43685,-9.94097,-2.84948,18.5056,-11.8575,15.0484,7.01444,1.07152,0,0,0,0.585617,4.19985,-1.61644,0,0,-0.636359,0,0.00838133,2.384,452,32,7,7,2,0.5213112783414642
0.024,0.291,33.0,5LE5_C_5LE5_K_4,44.3255,64.1243,12.894,-0.865963,-2.65742,-10.32,-3.00294,19.181,-12.2679,15.8883,7.00482,1.0479,0,0,0,0.525903,4.11912,-1.00839,0,0,-0.651926,0,0.0206285,2.384,452,32,7,7,2,0.4622444328055756
0.034,0.345,22.0,5LE5_D_5LE5_I_1,63.8615,60.1896,16.6228,-1.10405,-0.702421,-8.90473,-5.34499,18.3003,-9.39058,16.6974,7.1972,0.342752,0,0,0,0.0389758,2.09768,0.024505,0,0,-0.698117,0,0.16656,2.384,446,29,8,8,0,0.5795998887933671
0.046,0.353,24.0,5LE5_D_5LE5_I_0,65.7801,62.4256,22.3103,-0.680755,-2.02517,-9.74836,-5.60911,19.9996,-10.414,22.7539,7.98186,0.418138,0,0,0,0.132853,2.43078,0.0221764,0,0,-0.699339,0,0.178556,2.384,446,32,8,8,0,0.6164183913694299
0.025,0.301,32.0,5LE5_D_5LE5_I_3,63.232,71.5929,36.6034,-1.15601,-2.07653,-11.3607,-5.91985,22.5318,-12.3127,38.4024,7.77481,0.675915,0,0,0,0.304922,4.545,0.095842,0,0,-0.648627,0,0.292115,2.384,446,33,12,12,0,0.4859339063114445
0.034,0.293,27.0,5LE5_D_5LE5_I_2,71.1305,77.2972,23.607,-0.400305,-3.62901,-10.3577,-6.22734,20.285,-10.9554,26.8079,8.07075,0.543092,0,0,0,0.0505982,2.61383,-0.0544305,0,0,-0.721519,0,0.195361,2.384,446,31,10,10,0,0.570181452018848
0.018,0.246,30.0,5LE5_D_5LE5_I_4,70.5454,70.3191,30.9762,-1.12674,-2.35179,-11.294,-5.25798,22.0477,-12.0478,32.032,9.03356,0.491207,0,0,0,0.0455421,7.43542,-0.0411671,0,0,-0.746419,0,0.192128,2.384,446,34,14,13,3,0.4318717120414286
0.014,0.368,181.0,5LE5_C_5LE5_C_4,52.711,66.3603,696.124,-1.60037,-1.53288,-40.3734,3.40594,87.72,-48.0187,665.815,18.8424,9.4091,0,0,0,1.93422,355.232,-0.289014,0,0,0.759976,0,0.0518609,2.384,496,83,48,47,26,0.3210893928892868
0.015,0.414,178.0,5LE5_C_5LE5_C_3,55.6789,60.9537,655.115,-4.17156,-2.90954,-40.1347,3.93999,86.6842,-46.8288,624.232,20.4258,10.3124,0,0,0,2.92164,310.744,-0.330419,0,0,0.937238,0,0.0370037,2.384,496,82,50,48,26,0.3541756520505439
0.021,0.459,134.0,5LE5_C_5LE5_C_2,48.6328,44.0503,305.245,-6.14128,-7.10573,-38.5908,3.07515,58.8954,-46.349,309.154,19.2481,11.3074,0,0,0,1.52757,42.6228,-0.341353,0,0,0.544062,0,0.0208829,2.384,496,72,29,28,10,0.5019243597056335
0.026,0.429,110.0,5LE5_C_5LE5_C_0,47.4588,50.0872,262.96,-4.72992,-3.99302,-37.0186,1.27214,57.3334,-44.3893,263.659,18.0648,10.4873,0,0,0,2.30901,24.688,-0.419012,0,0,0.355808,0,0.0287258,2.384,496,75,22,22,7,0.5961382934614574
0.022,0.521,128.0,5LE5_C_5LE5_C_1,39.888,43.0041,280.559,-6.2662,-9.68857,-39.7224,2.11243,61.9252,-48.1252,287.935,19.4756,11.4215,0,0,0,1.39063,45.1055,-0.395327,0,0,0.453874,0,0.042985,2.384,496,74,31,30,10,0.550019600179473
0.016,0.24,22.0,5LE5_F_5LE5_L_0,76.5011,52.0069,27.9922,-0.269499,-2.031,-6.54216,0.625791,8.62669,-8.20232,33.8857,1.79732,0.0496975,0,0,0,0.0155538,2.92311,0.0691991,0,0,-0.0516658,0,0.018884,2.384,468,18,6,6,0,0.32474442567325595
0.013,0.253,66.0,5LE5_F_5LE5_L_4,99.872,50.7793,207.479,-2.51925,-0.905053,-14.3245,-0.358481,24.1639,-16.388,211.16,6.20861,0.48208,0,0,0,0.202118,218.727,-0.216811,0,0,-0.0249642,0,-2.77556e-17,2.384,468,37,21,17,16,0.21257912411290183
0.019,0.222,31.0,5LE5_F_5LE5_L_1,82.2232,51.1703,191.606,-0.697003,-4.58338,-14.0264,-0.565423,19.602,-17.0656,198.34,8.15804,2.61029,0,0,0,0.224868,5.69381,-0.0227388,0,0,-0.444128,0,0.075942,2.384,468,41,16,16,2,0.2602883039257312
0.018,0.098,17.0,5LE5_F_5LE5_L_2,74.0801,52.9715,127.623,-0.518787,-2.86565,-7.77965,0.52179,8.75877,-10.5505,132.606,5.76292,2.15412,0,0,0,0.0186658,1.5212,-0.132366,0,0,-0.394,0,0.0417227,2.384,468,27,8,8,0,0.2519621319535385
0.014,0.084,37.0,5LE5_F_5LE5_L_3,86.2025,52.3969,239.71,-2.15933,-3.45656,-12.6901,0.491331,17.5242,-17.0148,249.563,4.62087,3.40998,0,0,0,0.0494598,6.63744,-0.335005,0,0,-0.371119,0,0.0777294,2.384,468,25,13,13,2,0.22120789241162242
0.017,0.168,24.0,5LE5_F_5LE5_J_0,75.0371,82.1243,19.9003,-0.703028,-0.344473,-8.1995,-0.0259718,11.43,-9.18883,23.7009,2.85766,0.215838,0,0,0,0.0277167,9.2576,0.0794437,0,0,0.0381973,0,0.0122697,2.384,456,24,8,8,4,0.3473669875713451
0.013,0.166,25.0,5LE5_F_5LE5_J_1,76.7584,83.594,148.806,-0.838017,-1.15068,-10.2484,0.358264,14.6787,-11.5395,153.582,3.47132,0.308581,0,0,0,0.024604,3.39948,0.150218,0,0,-0.017712,0,0.0273198,2.384,456,26,12,12,0,0.25373874451522377
0.013,0.068,8.0,5LE5_F_5LE5_J_3,83.4967,101.419,57.014,-0.289498,-0.320115,-3.49081,-0.0629137,5.68864,-3.43246,55.9165,2.48575,0.768604,0,0,0,0.047228,0.732712,-0.271607,0,0,-0.0253209,0,1.11022e-16,2.384,456,20,3,3,0,0.19873582303228887
0.012,0.032,10.0,5LE5_F_5LE5_J_4,74.1093,78.6996,117.371,-5.68434e-14,3.55271e-15,-5.11327,-0.302077,9.1473,-5.62899,114.311,2.76749,2.69375,0,0,0,0.0311582,3.92394,-0.397537,0,0,-0.137334,0,-5.55112e-17,2.384,456,14,4,4,2,0.19354117321627343
0.012,0.092,23.0,5LE5_F_5LE5_J_2,85.2686,103.655,56.0859,-1.40221,-0.596248,-7.47444,0.738755,12.939,-7.19855,55.3926,4.58441,0.0237667,0,0,0,0.0705569,3.84784,-1.06503,0,0,0.0732282,0,2.22045e-16,2.384,456,21,6,6,0,0.2220328306853102
0.042,0.347,21.0,5LE5_G_5LE5_I_0,61.3629,54.8787,17.0072,-0.760888,-1.89812,-9.08753,-4.74237,16.0148,-10.3959,20.2072,7.56487,0.854151,0,0,0,0.0572821,2.69201,0.156659,0,0,-0.962945,0,5.55112e-17,2.384,451,25,7,7,0,0.588083652378876
0.031,0.346,25.0,5LE5_G_5LE5_I_1,82.7982,59.891,22.0626,-0.669252,-4.0958,-10.4534,-4.43919,17.1842,-12.1317,28.0288,8.1362,0.933654,0,0,0,0.139188,3.7802,0.29521,0,0,-0.865373,0,0.0,2.384,451,28,11,11,0,0.5625205795642664
0.028,0.319,24.0,5LE5_G_5LE5_I_4,65.3873,81.3775,46.4493,-0.374003,-1.89438,-10.9714,-5.04649,18.8102,-12.7574,50.0725,8.14935,0.954076,0,0,0,0.0666303,3.9295,0.356092,0,0,-0.915982,0,-2.77556e-17,2.384,451,30,12,12,0,0.48236978318069035
0.038,0.309,23.0,5LE5_G_5LE5_I_2,53.1445,75.7135,27.9395,-1.08913,-1.99495,-9.67428,-3.37136,15.582,-11.2443,33.5693,6.03717,0.648864,0,0,0,0.0458865,2.9676,0.227395,0,0,-0.796971,0,-2.77556e-17,2.384,451,26,10,10,0,0.5563145332584696
0.037,0.327,22.0,5LE5_G_5LE5_I_3,61.8265,74.1139,21.56,-1.10927,-3.0406,-9.13784,-2.86074,14.3288,-10.7176,28.8323,5.50228,0.29388,0,0,0,0.0353014,2.52406,0.202242,0,0,-0.768764,0,-5.55112e-17,2.384,451,27,9,9,0,0.5522011098372195
0.012,0.244,43.0,5LE5_I_5LE5_I_4,62.0244,62.5653,193.976,-1.29289,-1.16082,-15.3757,-4.15,25.0476,-18.1353,192.386,9.9821,4.53487,0,0,0,0.263497,3.28614,1.67817,0,0,0.197909,0,0.0,2.384,410,62,12,12,0,0.23499639174295153
0.02,0.277,32.0,5LE5_I_5LE5_I_2,70.9299,72.5223,164.379,-1.5456,-5.66747,-15.5526,0.088575,16.2823,-19.5253,181.28,6.50356,2.05821,0,0,0,0.438947,3.81925,0.270994,0,0,-0.252584,0,-2.77556e-17,2.384,410,40,16,16,0,0.29676949775518
0.014,0.336,57.0,5LE5_I_5LE5_I_1,77.3938,78.1742,166.656,-0.568707,-0.120739,-19.5627,-6.86483,30.1562,-25.8156,176.615,10.1906,2.80871,0,0,0,0.481726,5.75604,-0.440281,0,0,-0.223996,0,0.0,2.384,410,52,20,20,0,0.317643135579716
0.017,0.12,46.0,5LE5_I_5LE5_I_0,73.9432,75.0849,55.7903,-0.194013,-2.95783,-15.3577,2.00215,19.3697,-22.0546,65.3905,4.65426,4.3406,0,0,0,0.461059,5.53882,-0.262016,0,0,0.398232,0,2.77556e-17,2.384,410,46,14,12,2,0.3193311615077928
0.013,0.157,78.0,5LE5_I_5LE5_I_3,98.084,100.031,287.386,-3.36272,-3.06885,-25.8013,-0.832391,38.0396,-34.5916,297.707,11.7471,7.36239,0,0,0,0.488759,30.0091,-0.310472,0,0,0.0086043,0,2.77556e-17,2.384,410,54,30,30,9,0.24052495410627023
0.191,0.649,72.0,5LE5_b_5LE5_a_1,28.2693,47.0244,19.9698,-7.78824,-2.43705,-23.555,0.938614,32.2578,-27.9703,27.0849,13.1714,7.57094,0,0,0,0.697528,5.47381,-0.186485,0,0,0.167844,0,0.0178585,2.384,424,62,7,7,0,0.7420197485994854
0.146,0.634,66.0,5LE5_b_5LE5_a_2,29.2177,64.3178,16.0054,-7.92485,-3.67916,-23.389,0.457721,31.6872,-27.5853,25.099,14.093,6.68261,0,0,0,0.486492,7.57095,-0.213977,0,0,0.269029,0,0.0225184,2.384,424,57,11,11,1,0.7345395302958855
0.069,0.592,68.0,5LE5_b_5LE5_a_4,33.3846,47.3727,20.0256,-8.42314,-2.92428,-23.5761,1.12874,31.4492,-27.8891,27.7348,13.3863,8.81697,0,0,0,0.343281,7.91338,-0.476265,0,0,0.440259,0,0.0149563,2.384,424,58,9,9,0,0.6540528169744075
0.168,0.614,73.0,5LE5_b_5LE5_a_3,37.259,45.1967,14.9021,-8.21816,-2.95615,-24.38,0.66397,32.9507,-28.993,22.011,13.9377,9.69411,0,0,0,0.432622,7.2108,-0.413733,0,0,0.1584,0,0.0146151,2.384,424,63,9,9,0,0.725928297972442
0.328,0.623,68.0,5LE5_b_5LE5_a_0,32.1882,49.518,20.2159,-7.47472,-2.11245,-23.7841,1.13318,32.6837,-28.0939,23.5473,13.8454,9.89421,0,0,0,0.574677,6.58179,-0.489567,0,0,0.477708,0,0.0145844,2.384,424,57,9,9,0,0.7858425029566107
0.111,0.499,57.0,5LE5_K_5LE5_K_2,57.994,56.9644,11.604,-0.105772,-0.973199,-10.441,-1.20762,16.6717,-12.5836,13.3413,3.36012,2.74512,0,0,0,0.597205,0.846154,0.0820805,0,0,0.117686,0,-5.55112e-17,2.384,408,52,8,8,0,0.5901901052461732
0.011,0.203,154.0,5LE5_K_5LE5_K_4,81.3743,82.584,178.401,-3.92768,-1.9276,-21.2021,6.16152,42.6958,-25.7093,170.753,5.14075,6.95324,0,0,0,0.349958,237.743,-1.23264,0,0,0.345577,0,0.0,2.384,408,60,26,22,20,0.18621931092599028
0.281,0.603,71.0,5LE5_K_5LE5_K_0,62.3472,61.6472,28.4764,-3.40625,-1.25589,-16.2302,-2.15991,26.1955,-19.0478,35.025,5.41437,4.08514,0,0,0,0.692329,2.23678,-0.770429,0,0,-0.0655113,0,5.55112e-17,2.384,408,54,8,8,0,0.7204622541240882
0.209,0.573,88.0,5LE5_K_5LE5_K_1,62.3534,59.2222,93.7068,-0.78198,-4.75691,-16.5947,2.89855,27.7766,-19.7291,90.6265,8.39229,3.17614,0,0,0,1.24041,1.64283,0.840802,0,0,0.618156,0,5.55112e-17,2.384,408,54,12,12,0,0.7111251008018735
0.065,0.496,61.0,5LE5_K_5LE5_K_3,68.1171,66.9669,23.4891,-1.34698,-0.910331,-13.1278,-0.762129,21.1519,-15.1962,23.3026,5.6772,3.45153,0,0,0,0.791155,4.25437,0.119258,0,0,0.338979,0,0.0,2.384,408,54,8,8,0,0.5097723340983364
0.117,0.43,50.0,5LE5_L_5LE5_I_0,46.6263,62.5801,4.95677,-0.965853,-3.77509,-12.1031,-2.21476,18.1356,-14.6595,8.80961,9.25848,2.11061,0,0,0,0.110787,2.84085,0.499592,0,0,-0.249532,0,2.77556e-17,2.384,418,34,3,3,0,0.6747774407159702
0.019,0.256,55.0,5LE5_L_5LE5_I_3,51.3723,96.7898,6.88367,-0.910455,-5.35479,-13.0816,-1.88825,19.7442,-15.7998,11.6664,9.87971,2.0766,0,0,0,0.144778,4.82155,0.537597,0,0,-0.130675,0,2.77556e-17,2.384,418,37,5,4,2,0.4365742632688203
0.013,0.228,91.0,5LE5_L_5LE5_I_4,66.3717,80.4094,554.872,-2.6018,-2.0657,-24.0115,-2.76125,47.0367,-30.243,552.175,9.24812,6.46158,0,0,0,0.608326,168.876,1.02073,0,0,-0.00332567,0,0.00825402,2.384,418,58,33,31,15,0.19528694503369876
0.055,0.342,50.0,5LE5_L_5LE5_I_1,45.4646,67.8261,5.99416,-1.10142,-4.63655,-12.4167,-2.39319,18.3149,-14.9934,11.5439,9.23856,1.97673,0,0,0,0.105889,2.9629,0.579869,0,0,-0.224441,0,0.0,2.384,418,35,3,3,0,0.5833738664371586
0.053,0.319,49.0,5LE5_L_5LE5_I_2,43.5979,77.6467,3.89441,-1.06929,-5.55751,-12.3625,-2.27482,17.7726,-15.0049,9.99348,9.65402,2.26648,0,0,0,0.100756,2.84053,0.592706,0,0,-0.216569,0,-5.55112e-17,2.384,418,37,3,3,0,0.5832114119244823
0.023,0.243,24.0,5LE5_C_5LE5_b_0,39.8168,26.1929,30.6474,-1.18374,-1.263,-9.76108,-0.413973,10.0848,-13.7881,41.5249,5.94021,-6.82121e-13,0,0,0,0.0915304,3.78557,-0.305438,0,0,-0.278727,0,1.11022e-16,2.384,453,25,8,8,0,0.4104778033947157
0.011,0.175,154.0,5LE5_C_5LE5_b_4,155.816,42.4925,733.099,-1.41044,-4.28077,-24.568,-1.90372,50.5691,-29.1328,728.794,11.7313,1.80832,0,0,0,1.74252,233.359,-0.420379,0,0,-0.203678,0,0.373361,2.384,453,69,39,39,17,0.1869397244321067
0.013,0.148,31.0,5LE5_C_5LE5_b_2,39.0385,48.2302,112.568,-0.450987,-0.0872395,-12.0075,-0.230677,25.4263,-11.3457,102.925,7.59216,2.41295,0,0,0,0.0982873,2.94673,-1.48916,0,0,-0.276156,0,0.0,2.384,453,36,12,12,0,0.2024113359444746
0.014,0.053,16.0,5LE5_C_5LE5_b_1,46.3207,42.6722,35.1703,-0.514035,-1.42109e-14,-4.41627,0.142515,3.71222,-6.73152,40.2458,2.51482,0.121043,0,0,0,0.0105451,1.53385,-0.0703479,0,0,0.155482,0,0.0,2.384,453,14,3,3,0,0.2252889841737834
0.011,0.141,52.0,5LE5_C_5LE5_b_3,63.8983,42.4498,156.148,-1.28675,-0.687368,-15.6045,-3.25529,31.1069,-15.4579,152.454,7.72564,3.88162,0,0,0,0.226553,4.12496,-1.84294,0,0,-1.11193,0,0.0,2.384,453,41,16,16,0,0.19705220391247227
0.012,0.133,115.0,5LE5_D_5LE5_D_0,142.013,133.97,471.983,-1.40277,-2.54414,-39.1054,-2.20527,65.9132,-49.0899,466.891,21.0813,9.14057,0,0,0,2.29332,24.2008,0.43814,0,0,0.573101,0,0.0,2.384,482,97,42,42,4,0.25047592556360027
0.011,0.088,111.0,5LE5_D_5LE5_D_1,163.113,167.564,406.528,-2.31876,-1.67097,-32.9199,-1.21628,53.0155,-41.6894,405.138,17.8306,9.42502,0,0,0,0.646331,26.9096,0.385624,0,0,-0.0974991,0,0.0,2.384,482,99,36,36,5,0.2310619197301036
0.01,0.086,97.0,5LE5_D_5LE5_D_2,97.3389,98.0843,110.625,-1.58962,-5.51343,-23.5871,-3.28319,34.477,-31.487,118.714,15.394,7.10601,0,0,0,0.22272,6.65693,0.219265,0,0,-0.0480676,0,0.0,2.384,482,76,14,14,0,0.21910924622853506
0.01,0.29,228.0,5LE5_D_5LE5_D_3,117.818,214.251,1202.6,-3.87659,-4.21601,-49.5932,1.52065,117.5,-60.33,1155.61,21.8904,17.9369,0,0,0,4.39185,374.491,0.838365,0,0,0.926407,0,-1.11022e-16,2.384,482,109,67,65,36,0.2097910136427691
0.01,0.119,188.0,5LE5_D_5LE5_D_4,140.762,98.3959,667.667,-2.71064,-2.80081,-43.5747,-5.54747,81.9687,-54.8581,661.243,20.595,11.2088,0,0,0,2.16928,33.8287,-0.0221797,0,0,-0.00407882,0,-1.11022e-16,2.384,482,112,54,54,6,0.20035873013520716
0.013,0.057,8.0,5LE5_B_5LE5_a_1,51.1708,63.1333,48.6222,-0.145294,1.42109e-14,-3.84041,0.0326226,2.3678,-6.04715,53.169,2.21887,1.07585,0,0,0,0.0501785,1.03343,-0.163863,0,0,-0.0953734,0,5.55112e-17,2.384,480,13,2,2,0,0.22566268875658752
0.007,0.022,0.0,5LE5_B_5LE5_a_2,70.9736,63.6743,-0.0650859,-2.27374e-13,-4.26326e-14,-0.678913,0.0100943,0.692577,-0.971104,0.045706,0.453442,0.353269,0,0,0,0.00378721,0.219237,-0.0065924,0,0,0.0326472,0,5.55112e-17,2.384,480,4,0,0,0,0.22209123711190196
0.014,0.045,7.0,5LE5_B_5LE5_a_3,77.9305,59.9812,2.69625,-0.0235505,3.55271e-15,-2.33389,0.0660251,2.53449,-3.22004,2.78929,1.79408,1.0459,0,0,0,0.0163844,0.349866,-0.0507319,0,0,0.0782873,0,0.0,2.384,480,16,0,0,0,0.22092605865034465
0.018,0.14,19.0,5LE5_B_5LE5_a_0,84.5267,53.6693,147.265,-0.846082,-0.6315,-6.98801,-1.09881,13.3477,-9.00439,146.222,4.51116,1.98107,0,0,0,0.310634,0.91369,-0.138042,0,0,-0.400309,0,1.66533e-16,2.384,480,18,8,8,0,0.24038870679924063
0.007,0.042,4.0,5LE5_B_5LE5_a_4,59.9714,49.4204,1.23864,4.83169e-13,-1.77636e-14,-0.790448,-0.013098,1.0456,-0.924075,0.69747,0.68198,0.56492,0,0,0,0.000727363,1.85408e-05,-0.0607544,0,0,0.036316,0,1.11022e-16,2.384,480,11,0,0,0,0.21937985231254387
0.044,0.237,17.0,5LE5_A_5LE5_J_3,83.1807,80.4553,11.8942,-0.508548,-0.00978669,-8.26612,0.664294,11.58,-9.99706,15.0298,3.35256,0.424718,0,0,0,0.0541929,1.77814,-0.938419,0,0,0.508601,0,1.11022e-16,2.384,435,26,6,6,0,0.5512723027531576
0.123,0.294,18.0,5LE5_A_5LE5_J_1,83.5606,65.0032,4.76199,-0.347994,-0.706809,-7.06923,0.549464,8.85459,-8.78867,8.80023,2.82065,0.61972,0,0,0,0.0324365,1.63146,-0.424703,0,0,0.422303,0,1.11022e-16,2.384,435,23,4,4,0,0.6614445801609775
0.058,0.25,18.0,5LE5_A_5LE5_J_2,96.5114,75.8218,5.85567,-0.400071,-1.50979,-7.69487,0.565675,10.0016,-9.6544,11.6391,3.03167,0.252403,0,0,0,0.0341395,1.65278,-0.833401,0,0,0.423614,0,0.0,2.384,435,25,4,4,0,0.5970619528562375
0.23,0.291,18.0,5LE5_A_5LE5_J_0,91.0108,67.042,3.83102,-0.521806,-1.93336,-7.27453,0.607994,9.68981,-8.99869,9.05311,2.94848,0.70918,0,0,0,0.0227286,1.66396,-0.929843,0,0,0.457942,0,0.0,2.384,435,24,2,2,0,0.7070994373880702
0.017,0.213,24.0,5LE5_A_5LE5_J_4,90.0531,79.8116,11.2902,-0.464372,-1.08047,-8.18355,0.349835,10.2336,-10.4485,17.468,3.14141,0.237192,0,0,0,0.051155,7.45474,-0.360328,0,0,0.3463,0,0.0,2.384,435,24,9,7,2,0.3991149176097865
0.023,0.441,34.0,5LE5_K_5LE5_a_2,54.504,45.6496,27.5109,-0.303255,-1.08961,-11.307,-1.48689,13.8196,-14.0506,32.914,5.63917,3.21548,0,0,0,0.0887297,2.5188,0.0727733,0,0,-0.00140915,0,0.0,2.384,423,31,9,9,0,0.3935109762757525
