Entry ID,Total Number of Polymer Instances (Chains),Resolution (Å),Entity Polymer Type,Total Number of polymer Entity Instances (Chains) per Entity,ecod_count,ecod_id
1RYP,28.0,1.9,Protein,2,28,210.1.1.2
1RYP,28.0,1.9,Protein,2,28,210.1.1.2
1RYP,28.0,1.9,Protein,2,28,210.1.1.2
1RYP,28.0,1.9,Protein,2,28,210.1.1.2
1RYP,28.0,1.9,Protein,2,28,210.1.1.2
1RYP,28.0,1.9,Protein,2,28,210.1.1.2
1RYP,28.0,1.9,Protein,2,28,210.1.1.2
1RYP,28.0,1.9,Protein,2,28,210.1.1.2
1RYP,28.0,1.9,Protein,2,28,210.1.1.2
1RYP,28.0,1.9,Protein,2,28,210.1.1.2
1RYP,28.0,1.9,Protein,2,28,210.1.1.2
1RYP,28.0,1.9,Protein,2,28,210.1.1.2
1SFC,12.0,2.4,Protein,3,0,[]
1SFC,12.0,2.4,Protein,3,0,[]
1SFC,12.0,2.4,Protein,3,0,[]
1SFC,12.0,2.4,Protein,3,0,[]
1UCY,10.0,2.2,Protein,3,3,1.1.5.198
1UCY,10.0,2.2,Protein,1,3,1.1.5.198
1UCY,10.0,2.2,Protein,1,3,1.1.5.198
1UCY,10.0,2.2,Protein,3,3,1.1.5.198
1UCY,10.0,2.2,Protein,2,3,1.1.5.198
1URQ,4.0,2,Protein,1,0,[]
1URQ,4.0,2,Protein,1,0,[]
1URQ,4.0,2,Protein,1,0,[]
1URQ,4.0,2,Protein,1,0,[]
1VIT,7.0,3.2,Protein,2,2,1.1.5.198
1VIT,7.0,3.2,Protein,2,2,1.1.5.198
1VIT,7.0,3.2,Protein,1,2,1.1.5.198
1VIT,7.0,3.2,Protein,1,2,1.1.5.198
1VIT,7.0,3.2,Protein,1,2,1.1.5.198
1X9F,12.0,2.6,Protein,3,12,106.1.1.2
1X9F,12.0,2.6,Protein,3,12,106.1.1.2
1X9F,12.0,2.6,Protein,3,12,106.1.1.2
1X9F,12.0,2.6,Protein,3,12,106.1.1.2
1YCP,7.0,2.5,Protein,2,2,1.1.5.198
1YCP,7.0,2.5,Protein,1,2,1.1.5.198
1YCP,7.0,2.5,Protein,2,2,1.1.5.198
1YCP,7.0,2.5,Protein,1,2,1.1.5.198
1YCP,7.0,2.5,Protein,1,2,1.1.5.198
1YHU,24.0,3.15,Protein,6,24,106.1.1.2
1YHU,24.0,3.15,Protein,6,24,106.1.1.2
1YHU,24.0,3.15,Protein,6,24,106.1.1.2
1YHU,24.0,3.15,Protein,6,24,106.1.1.2
1Z56,11.0,3.92,Protein,2,1,7568.1.1.1
1Z56,11.0,3.92,Protein,1,1,7568.1.1.1
1Z56,11.0,3.92,Protein,1,1,7568.1.1.1
1Z56,11.0,3.92,Protein,2,1,7568.1.1.1
1Z56,11.0,3.92,Protein,1,1,7568.1.1.1
1Z56,11.0,3.92,Protein,1,1,7568.1.1.1
1Z56,11.0,3.92,Protein,1,1,7568.1.1.1
1Z56,11.0,3.92,Protein,1,1,7568.1.1.1
1Z56,11.0,3.92,Protein,1,1,7568.1.1.1
2A45,10.0,3.65,Protein,2,2,1.1.5.198
2A45,10.0,3.65,Protein,2,2,1.1.5.198
2A45,10.0,3.65,Protein,2,2,1.1.5.198
2A45,10.0,3.65,Protein,2,2,1.1.5.198
2A45,10.0,3.65,Protein,2,2,1.1.5.198
2BG9,5.0,4,Protein,2,5,"5057.1.1.1,11.12.1.1"
2BG9,5.0,4,Protein,1,5,"5057.1.1.1,11.12.1.1"
2BG9,5.0,4,Protein,1,5,"5057.1.1.1,11.12.1.1"
2BG9,5.0,4,Protein,1,5,"5057.1.1.1,11.12.1.1"
2D2M,4.0,2.85,Protein,1,4,106.1.1.2
2D2M,4.0,2.85,Protein,1,4,106.1.1.2
2D2M,4.0,2.85,Protein,1,4,106.1.1.2
2D2M,4.0,2.85,Protein,1,4,106.1.1.2
2D2N,4.0,3.2,Protein,1,4,106.1.1.2
2D2N,4.0,3.2,Protein,1,4,106.1.1.2
2D2N,4.0,3.2,Protein,1,4,106.1.1.2
2D2N,4.0,3.2,Protein,1,4,106.1.1.2
2F16,28.0,2.8,Protein,2,28,210.1.1.2
2F16,28.0,2.8,Protein,2,28,210.1.1.2
2F16,28.0,2.8,Protein,2,28,210.1.1.2
2F16,28.0,2.8,Protein,2,28,210.1.1.2
2F16,28.0,2.8,Protein,2,28,210.1.1.2
2F16,28.0,2.8,Protein,2,28,210.1.1.2
2F16,28.0,2.8,Protein,2,28,210.1.1.2
2F16,28.0,2.8,Protein,2,28,210.1.1.2
2F16,28.0,2.8,Protein,2,28,210.1.1.2
2F16,28.0,2.8,Protein,2,28,210.1.1.2
2F16,28.0,2.8,Protein,2,28,210.1.1.2
2F16,28.0,2.8,Protein,2,28,210.1.1.2
2F16,28.0,2.8,Protein,2,28,210.1.1.2
2F16,28.0,2.8,Protein,2,28,210.1.1.2
2FAK,28.0,2.8,Protein,2,28,210.1.1.2
2FAK,28.0,2.8,Protein,2,28,210.1.1.2
2FAK,28.0,2.8,Protein,2,28,210.1.1.2
2FAK,28.0,2.8,Protein,2,28,210.1.1.2
2FAK,28.0,2.8,Protein,2,28,210.1.1.2
2FAK,28.0,2.8,Protein,2,28,210.1.1.2
2FAK,28.0,2.8,Protein,2,28,210.1.1.2
2FAK,28.0,2.8,Protein,2,28,210.1.1.2
2FAK,28.0,2.8,Protein,2,28,210.1.1.2
2FAK,28.0,2.8,Protein,2,28,210.1.1.2
2FAK,28.0,2.8,Protein,2,28,210.1.1.2
2FAK,28.0,2.8,Protein,2,28,210.1.1.2
2FAK,28.0,2.8,Protein,2,28,210.1.1.2
2FAK,28.0,2.8,Protein,2,28,210.1.1.2
2FFD,10.0,2.89,Protein,2,4,269.1.1.2
2FFD,10.0,2.89,Protein,2,4,269.1.1.2
2FFD,10.0,2.89,Protein,2,4,269.1.1.2
2FFD,10.0,2.89,Protein,4,4,269.1.1.2
2GCT,4.0,1.8,Protein,1,1,1.1.17.4
2GCT,4.0,1.8,Protein,1,1,1.1.17.4
2GCT,4.0,1.8,Protein,1,1,1.1.17.4
2GCT,4.0,1.8,Protein,1,1,1.1.17.4
2GK1,20.0,3.25,Protein,4,8,"2002.1.1.709,2498.2.1.1"
2GK1,20.0,3.25,Protein,4,8,"2002.1.1.709,2498.2.1.1"
2GK1,20.0,3.25,Protein,4,8,"2002.1.1.709,2498.2.1.1"
2GK1,20.0,3.25,Protein,4,8,"2002.1.1.709,2498.2.1.1"
2GK1,20.0,3.25,Protein,4,8,"2002.1.1.709,2498.2.1.1"
2GPL,28.0,2.81,Protein,2,28,210.1.1.2
2GPL,28.0,2.81,Protein,2,28,210.1.1.2
2GPL,28.0,2.81,Protein,2,28,210.1.1.2
2GPL,28.0,2.81,Protein,2,28,210.1.1.2
2GPL,28.0,2.81,Protein,2,28,210.1.1.2
2GPL,28.0,2.81,Protein,2,28,210.1.1.2
2GPL,28.0,2.81,Protein,2,28,210.1.1.2
2GPL,28.0,2.81,Protein,2,28,210.1.1.2
2GPL,28.0,2.81,Protein,2,28,210.1.1.2
2GPL,28.0,2.81,Protein,2,28,210.1.1.2
2GPL,28.0,2.81,Protein,2,28,210.1.1.2
2GPL,28.0,2.81,Protein,2,28,210.1.1.2
2GPL,28.0,2.81,Protein,2,28,210.1.1.2
2GPL,28.0,2.81,Protein,2,28,210.1.1.2
2H43,8.0,2.7,Protein,2,4,269.1.1.2
2H43,8.0,2.7,Protein,2,4,269.1.1.2
2H43,8.0,2.7,Protein,2,4,269.1.1.2
2H43,8.0,2.7,Protein,2,4,269.1.1.2
2HLO,8.0,2.6,Protein,2,4,269.1.1.2
2HLO,8.0,2.6,Protein,2,4,269.1.1.2
2HLO,8.0,2.6,Protein,2,4,269.1.1.2
2HLO,8.0,2.6,Protein,2,4,269.1.1.2
2HNT,4.0,2.5,Protein,1,1,1.1.5.198
2HNT,4.0,2.5,Protein,1,1,1.1.5.198
2HNT,4.0,2.5,Protein,1,1,1.1.5.198
2HNT,4.0,2.5,Protein,1,1,1.1.5.198
2HOD,20.0,2.9,Protein,4,8,269.1.1.2
2HOD,20.0,2.9,Protein,4,8,269.1.1.2
2HOD,20.0,2.9,Protein,4,8,269.1.1.2
2HOD,20.0,2.9,Protein,8,8,269.1.1.2
2HPC,20.0,2.9,Protein,4,8,269.1.1.2
2HPC,20.0,2.9,Protein,4,8,269.1.1.2
2HPC,20.0,2.9,Protein,4,8,269.1.1.2
2HPC,20.0,2.9,Protein,8,8,269.1.1.2
2NPS,4.0,2.5,Protein,1,0,[]
2NPS,4.0,2.5,Protein,1,0,[]
2NPS,4.0,2.5,Protein,1,0,[]
2NPS,4.0,2.5,Protein,1,0,[]
2OYH,10.0,2.4,Protein,2,4,269.1.1.2
2OYH,10.0,2.4,Protein,2,4,269.1.1.2
2OYH,10.0,2.4,Protein,2,4,269.1.1.2
2OYH,10.0,2.4,Protein,4,4,269.1.1.2
2OYI,10.0,2.7,Protein,2,4,269.1.1.2
2OYI,10.0,2.7,Protein,2,4,269.1.1.2
2OYI,10.0,2.7,Protein,4,4,269.1.1.2
2OYI,10.0,2.7,Protein,2,4,269.1.1.2
2PKS,4.0,2.5,Protein,1,1,1.1.5.198
2PKS,4.0,2.5,Protein,1,1,1.1.5.198
2PKS,4.0,2.5,Protein,1,1,1.1.5.198
2PKS,4.0,2.5,Protein,1,1,1.1.5.198
2PPS,6.0,4,Protein,1,0,[]
2PPS,6.0,4,Protein,1,0,[]
2PPS,6.0,4,Protein,1,0,[]
2PPS,6.0,4,Protein,1,0,[]
2PPS,6.0,4,Protein,1,0,[]
2PPS,6.0,4,Protein,1,0,[]
2Q9I,10.0,2.8,Protein,2,4,269.1.1.2
2Q9I,10.0,2.8,Protein,2,4,269.1.1.2
2Q9I,10.0,2.8,Protein,2,4,269.1.1.2
2Q9I,10.0,2.8,Protein,2,4,269.1.1.2
2Q9I,10.0,2.8,Protein,2,4,269.1.1.2
2QL5,7.0,2.34,Protein,2,2,7575.1.1.3
2QL5,7.0,2.34,Protein,2,2,7575.1.1.3
2QL5,7.0,2.34,Protein,2,2,7575.1.1.3
2QL5,7.0,2.34,Protein,1,2,7575.1.1.3
2QL7,7.0,2.4,Protein,2,2,7575.1.1.3
2QL7,7.0,2.4,Protein,2,2,7575.1.1.3
2QL7,7.0,2.4,Protein,2,2,7575.1.1.3
2QL7,7.0,2.4,Protein,1,2,7575.1.1.3
2QL9,7.0,2.14,Protein,2,2,7575.1.1.3
2QL9,7.0,2.14,Protein,2,2,7575.1.1.3
2QL9,7.0,2.14,Protein,2,2,7575.1.1.3
2QL9,7.0,2.14,Protein,1,2,7575.1.1.3
2QLB,7.0,2.25,Protein,2,2,7575.1.1.3
2QLB,7.0,2.25,Protein,2,2,7575.1.1.3
2QLB,7.0,2.25,Protein,2,2,7575.1.1.3
2QLB,7.0,2.25,Protein,1,2,7575.1.1.3
2QLF,7.0,2.8,Protein,2,2,7575.1.1.3
2QLF,7.0,2.8,Protein,2,2,7575.1.1.3
2QLF,7.0,2.8,Protein,2,2,7575.1.1.3
2QLF,7.0,2.8,Protein,1,2,7575.1.1.3
2QLJ,7.0,2.6,Protein,2,2,7575.1.1.3
2QLJ,7.0,2.6,Protein,2,2,7575.1.1.3
2QLJ,7.0,2.6,Protein,2,2,7575.1.1.3
2QLJ,7.0,2.6,Protein,1,2,7575.1.1.3
2UUL,24.0,3.1,Protein,11,24,106.1.1.4
2UUL,24.0,3.1,Protein,10,24,106.1.1.4
2UUL,24.0,3.1,Protein,1,24,106.1.1.4
2UUL,24.0,3.1,Protein,1,24,106.1.1.4
2UUL,24.0,3.1,Protein,1,24,106.1.1.4
2XNX,14.0,3.3,Protein,4,8,269.1.1.2
2XNX,14.0,3.3,Protein,4,8,269.1.1.2
2XNX,14.0,3.3,Protein,4,8,269.1.1.2
2XNX,14.0,3.3,Protein,2,8,269.1.1.2
2XSM,16.0,5.5,Protein,1,0,[]
2XSM,16.0,5.5,Protein,1,0,[]
2XSM,16.0,5.5,Protein,1,0,[]
2XSM,16.0,5.5,Protein,2,0,[]
2XSM,16.0,5.5,Protein,1,0,[]
2XSM,16.0,5.5,Protein,1,0,[]
2XSM,16.0,5.5,Protein,1,0,[]
2XSM,16.0,5.5,Protein,1,0,[]
2XSM,16.0,5.5,Protein,1,0,[]
2XSM,16.0,5.5,Protein,1,0,[]
2XSM,16.0,5.5,Protein,1,0,[]
2XSM,16.0,5.5,Protein,1,0,[]
2XSM,16.0,5.5,Protein,1,0,[]
2XSM,16.0,5.5,Protein,1,0,[]
2XSM,16.0,5.5,Protein,1,0,[]
2YMS,4.0,2.101,Protein,1,1,5.1.11.5
2YMS,4.0,2.101,Protein,1,1,5.1.11.5
2YMS,4.0,2.101,Protein,1,1,5.1.11.5
2YMS,4.0,2.101,Protein,1,1,5.1.11.5
2Z4E,10.0,2.7,Protein,2,4,269.1.1.2
2Z4E,10.0,2.7,Protein,2,4,269.1.1.2
2Z4E,10.0,2.7,Protein,2,4,269.1.1.2
2Z4E,10.0,2.7,Protein,2,4,269.1.1.2
2Z4E,10.0,2.7,Protein,2,4,269.1.1.2
2ZCY,28.0,2.9,Protein,2,28,210.1.1.2
2ZCY,28.0,2.9,Protein,2,28,210.1.1.2
2ZCY,28.0,2.9,Protein,2,28,210.1.1.2
2ZCY,28.0,2.9,Protein,2,28,210.1.1.2
2ZCY,28.0,2.9,Protein,2,28,210.1.1.2
2ZCY,28.0,2.9,Protein,2,28,210.1.1.2
2ZCY,28.0,2.9,Protein,2,28,210.1.1.2
2ZCY,28.0,2.9,Protein,2,28,210.1.1.2
2ZCY,28.0,2.9,Protein,2,28,210.1.1.2
